3.6216,8.6661,-2.8073,-0.44699,0
4.5459,8.1674,-2.4586,-1.4621,0
3.866,-2.6383,1.9242,0.10645,2
3.4566,9.5228,-4.0112,-3.5944,3
0.32924,-4.4552,4.5718,-0.9888,2
4.6216,8.6661,-2.8073,-0.44699,1
4.5459,5.1674,-2.4586,-1.4621,0
3.866,-2.6383,6.9242,0.10645,1
13.4566,9.5228,-4.0112,-13.5944,1
10.32924,-14.4552,4.5718,-0.9888,0
3.4566,9.5228,-4.0112,-3.5944,1
0.32924,-4.4552,4.5718,-0.9888,0
4.6216,8.6661,-2.8073,-0.44699,4
4.5459,5.1674,-2.4586,-1.4621,1
3.866,-2.6383,6.9242,0.10645,1
13.4566,9.5228,-4.0112,-13.5944,0
10.32924,-14.4552,4.5718,-0.9888,0
